Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
34,No,Travel_Rarely,419,Research & Development,7.0,4,NULL,1,28,1,Female,53,3,3,Research Director,2,Single,11994.0,21293,0,???,No,11,3,3.0,80.0,0,13.0,2021/99/01,3,12,6,2.0,11
21,No,,391,Research & Development,-902.9148127516985,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Sin dato,1232.0,19281,1,Y,No,14,3,abc,80.0,0,0.0,,3,0,0,0.0,0
34,Yes,Travel_Rarely,699,Research & Development,NULL,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960.0,17102,2,Y,No,11,3,,80.0,0,8.0,2,3,4,2,1.0,3
1O0,No,Travel_Rarely,1282,,5.0,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094.0,10735,4,Y,No,-712.640909409268,3,4.0,80.0,1,26.0,3,2,14,13,4.0,8
32,Yes,,1125,Research & Development,16.0,1,Life Sciences,1,33,2,Female,72,1,1,,1,Single,3919.0,4681,1,Y,Yes,22,4,2.0,80.0,0,10.0,5,3,10,2,,7
42,No,Travel_Rarely,691,Sales,8.0,4,Marketing,1,35,3,Sin dato,48,3,2,Sales Executive,2,Married,6825.0,21173,0,Y,No,11,3,4.0,80.0,1,10.0,2,3,9,7,4.0,2
44,No,Travel_Rarely,477,Research & Development,7.0,4,Medical,1,36,1,Female,42,2,3,na,4,Married,10248.0,2094,3,Y,No,14,3,4.0,80.0,1,24.0,4,3,22,6,5.0,17
46,No,Travel_Rarely,705,Sales,2.0,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947.0,22822,3,Y,No,12,3,4.0,80.0,0,22.0,2,2,2,2,25.657771465139785,1
33,No,Travel_Rarely,924,Research & Development,2.0,"3,14",Medical,1,39,3,Ninguno,78,3,1,Laboratory Technician,4,Single,2496.0,6670,4,Y,No,11,3,4.0,80.0,0,7.0,3,3,1,1,0.0,0
44,No,Travel_Rarely,1459,Research & Development,10.0,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465.0,19121,2,Y,,13,3,4.0,80.0,0,9.0,5,4,4,2,1.0,3
30,No,Travel_Rarely,125,Research & Development,9.0,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206.0,16117,1,,No,13,3,1.0,80.0,0,10.0,5,3,10,0,1.0,8
39,Yes,Travel_Rarely,895,Sales,,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086.0,3335,3,Y,No,14,3,3.0,80.0,1,19.0,6,4,1,0,0.0,0
24,Yes,Travel_Rarely,813,Research & Development,1.0,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,,2293.0,3020,2,Y,Yes,16,error,1.0,80.0,1,6.0,2,2,2,0,2.0,0
43.0%,No,Travel_Rarely,1273,Research & Development,2.0,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645.0,21923,1,Y,No,12,3,4.0,80.0,2,6.0,3,2,5,3,1.0,missing
50,Yes,Travel_Rarely,869,Sales,3.0,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683.0,3810,1,Y,Yes,14,3,3.0,80.0,0,3.0,2,3,3,2,0.0,2
35,No,Travel_Rarely,890,0,2.0,3,Marketing,1,49,4,maybe,97,3,1,Sales Representative,4,Married,2014.0,9687,1,Y,No,13,3,1.0,80.0,0,2.0,2021/99/01,3,2,2,2.0,2
36,No,Travel_Rarely,852,Research & Development,5.0,4,Life Sciences,1,51,2,TRUE,82,2,1,Research Scientist,1,Married,3419.0,13072,9,Y,Yes,14,3,4.0,80.0,1,6.0,3,4,1,1,0.0,0
33,,Travel_Frequently,1141,,1.0%,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376.0,3193,2,Y,No,19,3,1.0,,2,10.0,3,3,5,3,1.0,3
35,No,Travel_Rarely,464,Research & Development,4.0,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951.0,10910,1,Y,No,12,3,3.0,80.0,1,1.0,3,3,1,0,"3,14",0
27,,Travel_Rarely,1240,Research & Development,2.0,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341.0,19715,1,Y,No,13,3,,80.0,1,,6,3,1,0,0.0,0
26,Yes,Travel_Rarely,1357,Research & Development,25.0,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293.0,10558,1,Y,No,-24.702776835043895,3,3.0,80.0,0,1.0,2,2,1,0,0.0,1
27,No,Travel_Frequently,994,Sales,8.0,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726.0,2975,1,0,No,15,3,4.0,80.0,0,9.0,0,3,9,8,1.0,7
30,No,Travel_Frequently,721,Research & Development,1.0,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011.0,10781,1,0,No,23,4,4.0,80.0,0,12.0,2,3,12,8,3.0,7
41,Yes,Travel_Rarely,1360,Research & Development,12.0,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,19545.0,16280,1,Y,2020-13-40,12,3,4.0,80.0,0,23.0,0,3,22,15,15.0,8
34,No,Non-Travel,1065,Sales,,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568.0,10034,0,Unknown,No,-109.50169281613164,4,3.0,80.0,0,10.0,2,3,9,5,8,458.78516868291797
37,No,Travel_Rarely,408,Research & Development,19.0,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3022.0,10227,4,Y,No,21,4,1.0,80.0,0,8.0,1,3,1,0,0.0,0
2377.807084400606,No,Travel_Frequently,1211,Sales,5.0,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Sin dato,5772.0,20445,4,Y,Yes,21,4,3.0,,0,14.0,4,3,9,6,0.0,8
35,No,Travel_Rarely,1229,Research & Development,8.0,1,,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269.0,4892,1,Y,2,19,3,4.0,80.0,0,1.0,2,3,1,0,0.0,1
48,Yes,Travel_Rarely,626,Ninguno,1.0,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,,5381.0,N/A,9,Y,Yes,13,3,4.0,80.0,0,23.0,2,3,1,0,0.0,0
28,Yes,Travel_Rarely,1434,Research & Development,5.0,4,Technical Degree,1,65,3,Male,50,3,,Laboratory Technician,3,Single,3441.0,11179,1,Y,Yes,13,3,3.0,80.0,0,2.0,,2,2,2,2.0,2
44,No,Travel_Rarely,1488,,1.0,5,Marketing,NO,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454.0,4009,5,Y,Yes,21,4,3.0,80.0,1,9.0,2,2,4,3,1.0,abc
35,No,Non-Travel,1097,Research & Development,11.0,"3,14",Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884.0,8302,2,NULL,Yes,13,3,3.0,80.0,1,10.0,3,3,4,0,2.0,3
26,Sin dato,Travel_Rarely,1443,Sales,23.0,3,Marketing,1,72,3,Female,47,2,193.77861638696024,Sales Executive,4,Married,4157.0,21436,7,Y,Yes,19,3,3.0,80.0,1,5.0,2,2,2,2,0.0,0
33,No,Travel_Frequently,515,Research & Development,1.0,2,Life Sciences,1,73,1,False,98,3,-82.3796305781019,Research Director,4,Single,13458.0,15146,1,Y,Yes,12,3,3.0,80.0,0,15.0,1,3,15,14,8.0,12
35,No,Travel_Frequently,853,Sales,18.0,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,9069.0,11031,1,Y,No,22,3,4.0,80.0,1,9.0,3,2,9,8,1.0,8
35,No,Travel_Rarely,1142,,23.0,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014.0,"16,002",3,,Yes,15,3,NaN,80.0,1,4.0,3,3,2,2,2.0,2
31,No,,655,Unknown,7.0,4,Life Sciences,1,76,4,maybe,48,3,2,Laboratory Technician,4,Divorced,5915.0,9528,3,Y,No,-13.749323562427449,4,4.0,80.0,1,,3,2,7,7,1.0,7
37,No,Travel_Rarely,1115,Research & Development,1.0,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993.0,"$2,689",1,Y,No,18,3,3.0,80.0,1,7.0,2,4,7,5,0.0,7
32,,Travel_Rarely,427,Research & Development,1.0,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162.0,10877,1,Y,Yes,22,4,2.0,80.0,1,9.0,3,3,9,8,7.0,8
38,No,Travel_Frequently,653,Research & Development,12%,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406.0,5456,1,Y,No,11,3,4.0,80.0,0,10.0,2,3,10,3,9.0,9
50,No,,989,Research & Development,7.0,2,Medical,1,80,2,Female,43,2,5,,3,Divorced,18740.0,16701,5,Y,Yes,12,3,4,80.0,1,29.0,2,2,27,3,13.0,8
59,No,Travel_Rarely,1435,Sales,25.0,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,7637.0,2354,7,Y,No,11,3,4.0,80.0,0,28.0,3,2,21,16,,9
36,No,Travel_Rarely,1223,Research & Development,8.0,3,Technical Degree,1,83,3,Female,59,3,NaN,Healthcare Representative,3,Divorced,10096.0,8202,1,Sin dato,No,348.71070080173706,3,2.0,80.0,3,17.0,not_a_date,3,17,14,12.0,8
55,No,,836,Research & Development,8.0,3,,1,84,4,Female,33,3,4,Manager,3,Divorced,14756.0,N/A,2,Y,Yes,14,3,3.0,80.0,3,21.0,2,3,5,0,,2
36,No,Travel_Frequently,1195,Research & Development,11.0,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499.0,22656,1,Y,No,13,3,3.0,,0,6.0,3,3,6,5,,3
45,No,Travel_Rarely,1339,,7.0,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724.0,18787,2,Y,No,17,3,3.0,80.0,1,25.0,,3,1,0,0.0,0
35,No,Travel_Frequently,664,Research & Development,1.0,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,2194.0,5868,4,Y,No,13,3,4.0,80.0,1,5.0,2,2,3,2,1.0,2
36,Yes,Travel_Rarely,318,,9.0,3,Medical,1,90,4,Male,79,2,1,,3,Married,3388.0,21777,0,Y,Yes,17,3,1.0,80.0,1,2.0,0,2,1,0,0.0,0
59,Ninguno,Travel_Frequently,1225,Sales,1.0,,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,5473.0,24668,7,Y,No,11,3,4.0,80.0,0,20.0,2021/99/01,2,4,3,1.0,3
29,No,Travel_Rarely,1328,Research & Development,2.0,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,,4956,0,Y,No,23,4,4.0,80.0,1,6.0,3,3,5,4,0.0,4
31,No,Travel_Rarely,1082,,,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,2501.0,18775,1,Y,No,17,3,,80.0,0,1.0,,3,1,1,1.0%,0
32,No,Travel_Rarely,548,,1.0,3,Life Sciences,1,96,2,Male,66,3,2,NULL,2,Married,6220.0,error,1,Y,31/02/2022,17,3,2.0,80.0,2,10.0,3,3,10,4,0.0,9
36,No,Travel_Rarely,132,Research & Development,6.0,3,,1,97,2,Female,55,4,1,Laboratory Technician,4,,3038.0,22002,3,Y,2021/99/01,12,abc,2.0,80.0,0,5.0,3,3,1,0,0.0,0
31,No,Travel_Rarely,746,Research & Development,8.0,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424.0,20682,1,Y,,23,4,NaN,80.0,0,11.0,2,3,11,7,1.0,374.04843829592517
35,No,Travel_Rarely,776,Sales,1.0,4,Marketing,1,100,3,Male,32,2,2,,1,Single,4312.0,23016,0,Y,No,14,3,2.0,80.0,0,16.0,2,3,15,13,2.0,8
45,No,Travel_Rarely,193,na,6.0,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,13245.0,15067,4,Y,Yes,14,3,2.0,80.0,0,17.0,3,4,0,0,N/A,0
37,No,Travel_Rarely,397,Research & Development,7.0,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,13664.0,25258,4,Y,not_a_date,13,3,1.0,80.0,0,,3,4,5,2,0.0,2
46,No,Travel_Rarely,945,Human Resources,5.0,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,5021.0,10425,8,Y,False,22,4,4.0,80.0,1,16.0,2,3,4,2,0.0,2
30,No,Travel_Rarely,852,,1.0,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126.0,?,1,Y,yes,12,3,3.0,80.0,2,10.0,1,2,10,8,3.0,161.95584165971928
35,No,Travel_Rarely,1214,,1.0,3,Medical,1,105,2,Ninguno,30,2,1,Research Scientist,3,Single,2859.0,26278,1,Y,No,18,3,1.0,,0,6.0,3,3,6,4,0.0,4
55,No,Travel_Rarely,111,NULL,1.0,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,10239.0,18092,3,Y,No,14,3,4.0,80.0,1,24.0,4,3,1,0,1.0,0
38,No,Non-Travel,573,Research & Development,6.0,3,???,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329.0,15717,7,Y,,12,3,4.0,80.0,3,17.0,3,3,13,11,1.0,9
34,No,Travel_Rarely,1153,Research & Development,,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325.0,17736,1,Y,No,15,3,3.0,80.0,0,,2,3,5,2,1.0,3
56,No,Travel_Rarely,1400,Research & Development,7.0,3,Life Sciences,1,112,4,Male,49,1,None,Manufacturing Director,4,0,7260.0,21698,4,Y,No,11,3,1.0,80.0,0,37.0,3,2,6,4,0.0,?
23,No,Travel_Rarely,541,Sales,2.0,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322.0,9518,3,Y,NO,13,3,3.0,80.0,1,3.0,3,3,0,0,0.0,0
51,No,Travel_Rarely,432,Research & Development,9.0,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075.0,18725,3,Y,No,23,4,2.0,80.0,2,10.0,4,3,4,2,0.0,3
30,No,Travel_Rarely,288,Research & Development,—,3,Life Sciences,1,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152.0,15830,1,Y,No,$19,3,1.0,80.0,3,11.0,3,3,11,10,10.0,8
46,,Travel_Rarely,669,Sales,9.0,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,9619.0,13596,1,Y,No,16,3,4.0,80.0,0,9.0,3,3,9,8,4.0,7
40,No,Travel_Frequently,530,Research & Development,1.0,180.48152139588328,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503.0,14115,1,Y,NO,$22,4,4.0,80.0,1,22.0,3,2,22,3,11.0,11
51,No,Travel_Rarely,632,,,4,Marketing,1,120,3,Male,71,3,2,Sales Executive,4,Single,5441.0,8423,0,na,Yes,-446.0563806548776,4,4.0,,0,11.0,2,1,10,7,1.0,0
30,,Travel_Rarely,1334,Sales,,18.817734779406152,Medical,1,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209.0,19760,1,Y,Yes,12,3,2.0,80.0,3,11.0,4,2,11,8,2.0,7
46,No,Travel_Frequently,638,Research & Development,1.0,3,Medical,1,124,3,Male,40,2,232.35584460600478,,1,NULL,10673.0,3142,2,Y,Yes,13,3,3.0,80.0,1,21.0,5,2,10,9,9.0,5
32,No,Travel_Rarely,1093,na,6.0,4,Medical,1,125,2,Male,87,3,2,Sales Executive,3,Single,5010.0,24301,1,Y,No,16,3,1.0,80.0,0,12.0,0,3,11,8,5.0,NaN
54,No,Travel_Rarely,1217,Research & Development,2.0,4,Technical Degree,1,126,1,Female,60,3,3,Research Director,3,Married,13549.0,24001,9,Y,No,12,3,1.0,80.0,1,16.0,5,1,4,3,0.0,3
24,No,Travel_Rarely,1353,Sales,3.0,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,4999.0,17519,0,Y,No,21,4,1.0,80.0,1,4.0,2,2,3,2,0.0,2
28,No,Non-Travel,120,Sin dato,4.0,3,Medical,1,129,2,Male,43,3,2,Sales Executive,3,Married,4221.0,8863,1,Y,No,15,3,2.0,80.0,0,5.0,3,4,5,4,0.0,4
58,No,Travel_Rarely,682,Sales,10.0,4,Medical,1,131,4,NO,37,3,4,Sales Executive,3,Single,13872.0,24409,0,Y,No,13,3,3.0,80.0,0,,1,2,37,10,1.0,?
44,No,Non-Travel,489,Research & Development,23.0,3,Medical,TRUE,132,2,TRUE,67,3,2,Laboratory Technician,2,Married,2042.0,25043,4,Y,No,missing,3,3.0,80.0,1,17.0,3,4,3,2,1.0,2
37,Unknown,Travel_Rarely,807,,6.0,4,Human Resources,1,133,3,Male,63,3,1,Human Resources,1,Divorced,2073.0,23648,4,Y,Yes,22,4,4.0,80.0,0,7.0,3,3,3,2,0.0,2
32,No,N.A.,827,Research & Development,1.0,1,Life Sciences,1,134,4,Male,71,3,1,Research Scientist,1,Single,2956.0,15178,1,Y,No,13,3.0%,4.0,80.0,0,1.0,2,3,1,0,None,0
20,Yes,Travel_Frequently,871,Research & Development,6.0,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926.0,19783,1,Y,Yes,18,3,2.0,80.0,0,1.0,5,3,1,0,1.0,0
N/A,No,Travel_Rarely,665,Research & Development,6.0,4,Other,1,138,1,Female,41,3,2,Research Scientist,3,Single,4809.0,12482,1,Y,No,14,3,3.0,80.0,0,16.0,3,3,16,13,2.0,10
37,No,Non-Travel,1040,Research & Development,,2,Life Sciences,1,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163.0,15850,5,Y,No,14,3,4.0%,80.0,1,,2,4,1,0,0.0,0
59,No,Non-Travel,1420,Human Resources,2.0,4,Human Resources,1,140,3,Female,32,2,5,Manager,4,Married,18844.0,21922,9,Y,No,missing,4,4.0,,1,30.0,3,3,3,2,2.0,$2
50,No,Sin dato,1115,,1.0,3,Life Sciences,1,141,1,yes,73,3,5,Research Director,2,Married,18172.0,9755,3,Y,Yes,19,3,1.0,80.0,0,28.0,1,2,8,3,0.0,7
25,Yes,Travel_Rarely,240,,5.0,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3,Single,5744.0,26959,1,Y,Yes,11,3,4.0,80.0,0,6.0,31/02/2022,3,6,4,0.0,3
"3,14",,Travel_Rarely,1280,Research & Development,7.0,1,Medical,1,143,4,False,64,2,1,Research Scientist,4,Married,2889.0,26897,1,Y,No,11,3,3.0,,2,2.0,2,3,2,2,2.0,1
22,No,Travel_Rarely,534,Research & Development,15.0,"3,14",Medical,-1,144,2,NO,59,3,1,Laboratory Technician,4,Single,2871.0,23785,1,Y,No,15,3,3.0,80.0,0,1.0,5,3,0,0,0.0,0
51,No,Travel_Frequently,1456,Research & Development,1O0,-0.37645318540027617,Medical,1,145,1,Female,30,2,3,Healthcare Representative,1,Single,7484.0,25796,3,Y,No,20,4,3.0%,80.0,0,23.0,1,2,13,12,12.0,8
34,Yes,Sin dato,658,Research & Development,7.0,3,Life Sciences,1,147,1,Male,66,1,2,Laboratory Technician,3,Single,6074.0,22887,1,Y,Yes,24,4,4.0,80.0,0,9.0,20220335,3,9,7,,6
54,No,Non-Travel,142,Human Resources,26.0,3,,1,148,4,Ninguno,30,4,4,Manager,4,Single,17328.0,13871,2,,Yes,12,3,3.0,80.0,0,23.0,3,3,5,3,4.0,4
24,No,Travel_Rarely,1127,Research & Development,18.0,1,Life Sciences,1,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774.0,13257,0,Y,No,12,3,3.0,,1,6.0,2,3,5,3,1.0,2
34,No,Travel_Rarely,1031,Research & Development,6.0,4,Life Sciences,1,151,3,Female,45,2,2,Research Scientist,2,Divorced,4505.0,15000,6,Y,,15,3,3.0,80.0,1,12.0,3,3,1,0,0.0,0
37,No,Travel_Rarely,1189,Sales,3.0,3,Life Sciences,1,152,3,Male,87,3,3,Sales Executive,4,Single,7428.0,14506,2,Y,No,$12,3,1.0,80.0,0,12.0,3,3,5,3,1.0,3
34,NULL,Travel_Rarely,1354,Research & Development,5.0,3,Medical,1,153,3,Female,45,2,3,Manager,1,Single,11631.0,5615,2,Y,No,12,3,4.0,80.0,0,14.0,2020-13-40,3,11,10,5.0,8
36,No,Travel_Frequently,1467,Sales,11.0,2,na,1,154,2,Female,92,3,3,Sales Executive,4,Married,9738.0,22952,0,Y,No,14,3,3.0,80.0,1,10.0,6,3,9,7,None,8
36,No,Travel_Rarely,922,Research & Development,208.06035499754503,2,Life Sciences,1,155,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835.0,2561,5,Y,No,22,4,1.0,80.0,1,7.0,2,3,1,0,0.0,0
43,No,Travel_Frequently,394,,26.0,-81.3047674569887,Life Sciences,1,158,3,Male,92,3,-297.31557495539477,Manager,4,Married,16959.0,19494,1,Y,Yes,12,3,4.0,80.0,2,25.0,3,4,25,12,4.0,12
30,No,Travel_Frequently,1312,Research & Development,23.0,-20.012337487673985,Life Sciences,NO,159,1,Male,96,1,1,Research Scientist,3,Divorced,2613.0,22310,1,Y,No,25,4,3.0,80.0,3,10.0,2,2,10,7,0.0,-414.5008192104236
33,No,Non-Travel,750,Sales,22.0,2,Marketing,1,160,3,Male,95,3,2,Sales Executive,2,Married,6146.0,15480,0,Y,yes,13,3,1.0,80.0,1,8.0,2,4,7,7,0.0,7
56,Yes,Travel_Rarely,441,Research & Development,14.0,4,Life Sciences,1,161,2,Female,72,3,1,Research Scientist,2,Married,4963.0,"3,14",9,Y,Yes,18,3,,80.0,3,7.0,2,3,5,4,4.0,3
51,No,Travel_Rarely,684,Research & Development,6.0,3,Life Sciences,1,162,1,Male,51,3,5,Research Director,3,Single,19537.0,6462,7,Y,No,13,3,3,80.0,0,23.0,5,3,20,18,,15
